title,neighborhoods,price,num_bedrooms,num_bathrooms,url,lat,lon,city,time_posted,alerted,priority_alerted,source,bike_time_minutes,bike_station,bart_bike_time_minutes,bart_station
Brand New Remodel/1675Clay&Larkin/WD in unit/office!!,,4595,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-remodel/7933550461.html,37.7924336746668,-122.420649710855,San Francisco,2026-05-11T07:20:05.216258-07:00,False,,craigslist,,,,
Remodeled! In The Heart Of North Beach. Dishwasher! Laundry On-Site,,5190,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-in-the-heart-of/7933535829.html,37.8009615784891,-122.412490218895,San Francisco,2026-05-11T06:20:04.671366-07:00,False,,craigslist,,,,
"World Class, IN 2-beds-1.bath-More",,4800,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-world-class-in-beds-1bath/7933519893.html,37.799899314737,-122.434205319329,San Francisco,2026-05-11T05:00:05.560560-07:00,False,,craigslist,,,,
"Attracts,Good condion Home",,5000,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-attractsgood-condion-home/7933519765.html,37.7309008722621,-122.388597878839,San Francisco,2026-05-11T04:00:05.118096-07:00,False,,craigslist,,,,
"World Class, IN 2-beds-1.5bath-More",,4800,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-world-class-in-beds/7933519893.html,37.799899314737,-122.434205319329,San Francisco,2026-05-11T04:00:05.116843-07:00,False,,craigslist,,,,
Bright 2BR In-Law Unit in Merced Heights – Prime SF Location Near SFSU,,2850,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-2br-in-law-unit-in/7933499864.html,37.720593934486,-122.470564648048,San Francisco,2026-05-10T21:00:04.717012-07:00,False,,craigslist,,,,
"Exclusive Access to Gated Community, Elevator & More",,3593,2,2.0,https://sfbay.craigslist.org/pen/apa/d/san-francisco-exclusive-access-to-gated/7933497853.html,37.7072342775777,-122.415895880029,San Francisco,2026-05-10T20:40:05.128143-07:00,False,,craigslist,,,,
"Bicycle Parking, 360 View Rooftop Deck, Roof View Fire Pits, Grills",,4379,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bicycle-parking-360-view/7933495527.html,37.7752730157458,-122.415909631016,San Francisco,2026-05-10T20:20:04.888737-07:00,False,,craigslist,,,,
Top-Floor 2 Bed  with In-Unit Laundry & Dishwasher | Pet Friendly,,3295,2,1.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-bed-with-in/7933493238.html,37.7841762069238,-122.418177397969,San Francisco,2026-05-10T20:00:05.580563-07:00,False,,craigslist,,,,
Polk Gulch 2 Bed + Office / 2 Bath with In-Unit Laundry | Pets ok!,,4695,2,2.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-polk-gulch-bed-office/7933487105.html,37.7871882460527,-122.417097945483,San Francisco,2026-05-10T19:00:05.663463-07:00,False,,craigslist,,,,
